,instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
0,1,2011-01-01,spring,2011,1,Not Holiday,6,Weekend/Holiday,Mist Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331.0,654,985.0
1,2,2011-01-02,spring,2011,1,Not Holiday,0,Weekend/Holiday,Mist Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131.0,670,801.0
2,3,2011-01-03,spring,2011,1,Not Holiday,1,Workingday,Clear Cloudy,8.050924,9.47025,43.7273,16.636703,120.0,1229,1349.0
3,4,2011-01-04,spring,2011,1,Not Holiday,2,Workingday,Clear Cloudy,8.200000000000001,10.6061,59.0435,10.739832,108.0,1454,1562.0
4,5,2011-01-05,spring,2011,1,Not Holiday,3,Workingday,Clear Cloudy,9.305237,11.4635,43.695699999999995,12.522300000000001,82.0,1518,1600.0
5,6,2011-01-06,spring,2011,1,Not Holiday,4,Workingday,Clear Cloudy,8.378268,11.66045,51.8261,6.0008684,88.0,1518,1606.0
6,7,2011-01-07,spring,2011,1,Not Holiday,5,Workingday,Mist Cloudy,8.057402,10.44195,49.8696,11.304642,148.0,1362,1510.0
7,8,2011-01-08,spring,2011,1,Not Holiday,6,Weekend/Holiday,Mist Cloudy,6.765000000000001,8.1127,53.5833,17.875868,68.0,891,959.0
8,9,2011-01-09,spring,2011,1,Not Holiday,0,Weekend/Holiday,Clear Cloudy,5.671653,5.80875,43.416700000000006,24.25065,54.0,768,822.0
9,10,2011-01-10,spring,2011,1,Not Holiday,1,Workingday,Clear Cloudy,6.184153,7.5443999999999996,48.2917,14.958889,41.0,1280,1321.0
10,11,2011-01-11,spring,2011,1,Not Holiday,2,Workingday,Mist Cloudy,6.9327309999999995,9.5732,68.6364,8.182844000000001,43.0,1220,1263.0
11,12,2011-01-12,spring,2011,1,Not Holiday,3,Workingday,Clear Cloudy,7.0818069999999995,8.02365,59.954499999999996,20.410009,25.0,1137,1162.0
12,13,2011-01-13,spring,2011,1,Not Holiday,4,Workingday,Clear Cloudy,6.765000000000001,7.544149999999999,47.0417,20.166999999999998,38.0,1368,1406.0
13,14,2011-01-14,spring,2011,1,Not Holiday,5,Workingday,Clear Cloudy,6.59567,9.42065,53.7826,8.478716,54.0,1367,1421.0
14,15,2011-01-15,spring,2011,1,Not Holiday,6,Weekend/Holiday,Mist Cloudy,9.566653,12.4056,49.875,10.583521,222.0,1026,1248.0
15,16,2011-01-16,spring,2011,1,Not Holiday,0,Weekend/Holiday,Clear Cloudy,9.498347,11.71085,48.375,12.625010999999999,251.0,953,1204.0
16,17,2011-01-17,spring,2011,1,Not Holiday,1,Weekend/Holiday,Mist Cloudy,7.209153,8.838550000000001,53.75,12.999139,117.0,883,1000.0
17,18,2011-01-18,spring,2011,1,Not Holiday,2,Workingday,Mist Cloudy,8.883347,11.61665,86.16669999999999,9.833924999999999,9.0,674,683.0
18,19,2011-01-19,spring,2011,1,Not Holiday,3,Workingday,Mist Cloudy,11.979134,14.921100000000001,74.1739,13.957239,78.0,1572,1650.0
19,20,2011-01-20,spring,2011,1,Not Holiday,4,Workingday,Mist Cloudy,10.728347,12.7525,53.833299999999994,13.125568,83.0,1844,1927.0
20,21,2011-01-21,spring,2011,1,Not Holiday,5,Workingday,Clear Cloudy,7.2775,7.89165,45.7083,23.667214,75.0,1468,1543.0
21,22,2011-01-22,spring,2011,1,Not Holiday,6,Weekend/Holiday,Clear Cloudy,2.4243464,3.9534800000000003,40.0,11.52199,93.0,888,981.0
22,23,2011-01-23,spring,2011,1,Not Holiday,0,Weekend/Holiday,Clear Cloudy,3.9573897000000002,4.941955,43.6522,16.5222,150.0,836,986.0
23,24,2011-01-24,spring,2011,1,Not Holiday,1,Workingday,Clear Cloudy,3.9930433,5.8965,49.173899999999996,10.60811,86.0,1330,1416.0
24,25,2011-01-25,spring,2011,1,Not Holiday,2,Workingday,Mist Cloudy,9.162598000000001,11.7263,61.695699999999995,8.696332,186.0,1799,1985.0
25,26,2011-01-26,spring,2011,1,Not Holiday,3,Workingday,Light Rain/Snow,8.9175,10.18,86.25,19.68795,34.0,472,506.0
26,27,2011-01-27,spring,2011,1,Not Holiday,4,Workingday,Clear Cloudy,7.995,10.985,68.75,7.627078999999999,15.0,416,431.0
27,28,2011-01-28,spring,2011,1,Not Holiday,5,Workingday,Mist Cloudy,8.342597999999999,11.165849999999999,79.30430000000001,8.2611,38.0,1129,1167.0
28,29,2011-01-29,spring,2011,1,Not Holiday,6,Weekend/Holiday,Clear Cloudy,8.057402,10.606300000000001,65.17389999999999,9.739455,123.0,975,1098.0
29,30,2011-01-30,spring,2011,1,Not Holiday,0,Weekend/Holiday,Clear Cloudy,8.877402,12.5161,72.2174,4.956834199999999,140.0,956,1096.0
30,31,2011-01-31,spring,2011,1,Not Holiday,1,Workingday,Mist Cloudy,7.414153,9.3125,60.375,12.541864,42.0,1459,1501.0
31,32,2011-02-01,spring,2011,2,Not Holiday,2,Workingday,Mist Cloudy,7.8791340000000005,11.7265,82.9565,3.565271,47.0,1313,1360.0
32,33,2011-02-02,spring,2011,2,Not Holiday,3,Workingday,Mist Cloudy,10.66,12.72085,77.5417,17.708636,72.0,1454,1526.0
33,34,2011-02-03,spring,2011,2,Not Holiday,4,Workingday,Clear Cloudy,7.665237,8.8939,43.7826,18.609384,61.0,1489,1550.0
34,35,2011-02-04,spring,2011,2,Not Holiday,5,Workingday,Mist Cloudy,8.663464,11.429350000000001,58.521699999999996,8.565213,88.0,1620,1708.0
35,36,2011-02-05,spring,2011,2,Not Holiday,6,Weekend/Holiday,Mist Cloudy,9.566653,12.152899999999999,92.91669999999999,10.792293,100.0,905,1005.0
36,37,2011-02-06,spring,2011,2,Not Holiday,0,Weekend/Holiday,Clear Cloudy,11.719153,14.58355,56.833299999999994,9.5006,354.0,1269,1623.0
37,38,2011-02-07,spring,2011,2,Not Holiday,1,Workingday,Clear Cloudy,11.138347,15.1829,73.83330000000001,3.0423561,120.0,1592,1712.0
38,39,2011-02-08,spring,2011,2,Not Holiday,2,Workingday,Clear Cloudy,9.054153,9.9123,53.7917,24.25065,64.0,1466,1530.0
39,40,2011-02-09,spring,2011,2,Not Holiday,3,Workingday,Mist Cloudy,5.526102999999999,7.21415,49.4783,12.652213,53.0,1552,1605.0
40,41,2011-02-10,spring,2011,2,Not Holiday,4,Workingday,Clear Cloudy,5.918268,7.477399999999999,43.7391,14.869645,47.0,1491,1538.0
41,42,2011-02-11,spring,2011,2,Not Holiday,5,Workingday,Clear Cloudy,7.752731000000001,10.67545,50.6364,7.272849999999999,149.0,1597,1746.0
42,43,2011-02-12,spring,2011,2,Not Holiday,6,Weekend/Holiday,Clear Cloudy,9.1225,11.6477,54.4167,13.625589,288.0,1184,1472.0
43,44,2011-02-13,spring,2011,2,Not Holiday,0,Weekend/Holiday,Clear Cloudy,12.977402000000001,16.20565,45.7391,17.479160999999998,397.0,1192,1589.0
44,45,2011-02-14,spring,2011,2,Not Holiday,1,Workingday,Clear Cloudy,17.015,19.9175,37.583299999999994,25.50095375,208.0,1705,1913.0
45,46,2011-02-15,spring,2011,2,Not Holiday,2,Workingday,Clear Cloudy,10.909567000000001,12.7137,31.434800000000003,19.522058,140.0,1675,1815.0
46,47,2011-02-16,spring,2011,2,Not Holiday,3,Workingday,Clear Cloudy,13.048701000000001,15.809999999999999,42.3478,16.869996999999998,218.0,1897,2115.0
47,48,2011-02-17,spring,2011,2,Not Holiday,4,Workingday,Clear Cloudy,17.869153,21.4329,50.5,15.416968,259.0,2216,2475.0
48,49,2011-02-18,spring,2011,2,Not Holiday,5,Workingday,Clear Cloudy,21.388347,25.599149999999998,51.6667,17.749975000000003,579.0,2348,2927.0
49,50,2011-02-19,spring,2011,2,Not Holiday,6,Weekend/Holiday,Clear Cloudy,16.365847,19.5702,18.7917,25.50095375,532.0,1103,1635.0
50,51,2011-02-20,spring,2011,2,Not Holiday,0,Weekend/Holiday,Clear Cloudy,11.693897,13.8665,40.7826,14.956745,639.0,1173,1812.0
51,52,2011-02-21,spring,2011,2,Not Holiday,1,Weekend/Holiday,Mist Cloudy,12.436653000000002,14.203750000000001,60.5,20.625682,195.0,912,1107.0
52,53,2011-02-22,spring,2011,2,Not Holiday,2,Workingday,Clear Cloudy,7.471102,9.30165,57.7778,13.110761,74.0,1376,1450.0
53,54,2011-02-23,spring,2011,2,Not Holiday,3,Workingday,Clear Cloudy,9.091299,12.28585,42.3043,6.3055710000000005,139.0,1778,1917.0
54,55,2011-02-24,spring,2011,2,Not Holiday,4,Workingday,Mist Cloudy,12.121732000000002,14.459549999999998,69.7391,16.783231999999998,100.0,1707,1807.0
55,56,2011-02-25,spring,2011,2,Not Holiday,5,Workingday,Mist Cloudy,14.938268,17.52305,71.2174,23.218113,120.0,1341,1461.0
56,57,2011-02-26,spring,2011,2,Not Holiday,6,Weekend/Holiday,Clear Cloudy,11.5825,14.1096,53.7917,12.500257,424.0,1545,1969.0
57,58,2011-02-27,spring,2011,2,Not Holiday,0,Weekend/Holiday,Clear Cloudy,14.082598,17.55545,68.0,8.391615999999999,694.0,1708,2402.0
58,59,2011-02-28,spring,2011,2,Not Holiday,1,Workingday,Mist Cloudy,16.698193,20.005899999999997,87.63640000000001,19.408962,81.0,1365,1446.0
59,60,2011-03-01,spring,2011,3,Not Holiday,2,Workingday,Clear Cloudy,10.933347,13.19395,53.5,14.500475,137.0,1714,1851.0
60,61,2011-03-02,spring,2011,3,Not Holiday,3,Workingday,Clear Cloudy,13.735000000000001,16.00355,44.9583,20.624811,231.0,1903,2134.0
61,62,2011-03-03,spring,2011,3,Not Holiday,4,Workingday,Clear Cloudy,8.131653,10.00665,31.833299999999998,15.125518000000001,123.0,1562,1685.0
62,63,2011-03-04,spring,2011,3,Not Holiday,5,Workingday,Mist Cloudy,10.728347,12.783949999999999,61.0417,13.624182,214.0,1730,1944.0
63,64,2011-03-05,spring,2011,3,Not Holiday,6,Weekend/Holiday,Mist Cloudy,15.750846999999998,18.93895,78.91669999999999,16.875357,640.0,1437,2077.0
64,65,2011-03-06,spring,2011,3,Not Holiday,0,Weekend/Holiday,Mist Cloudy,15.437402,18.3126,94.8261,23.000229,114.0,491,605.0
65,66,2011-03-07,spring,2011,3,Not Holiday,1,Workingday,Clear Cloudy,10.731299,11.92305,55.1304,22.870584,244.0,1628,1872.0
66,67,2011-03-08,spring,2011,3,Not Holiday,2,Workingday,Clear Cloudy,11.9925,15.120000000000001,42.0833,8.083549999999999,316.0,1817,2133.0
